Título,Coordenador,Campus,Período de Execução
DESIDRATADOR SOLAR DE FRUTOS COMO TECNOLOGIA SOCIAL: UMA ALTERNATIVA PARA A COMUNIDADE DO MUNICÍPIO DE ARINOS-MG,Marcelo Marcos Magalhaes,ARINOS,De 02/05/2019 a 31/10/2019
Difusão de tecnologias de cultivo de melancia sem sementes para os agricultores familiares de Arinos-MG.,Ronaldo Porto Madureira,ARINOS,De 02/05/2019 a 31/10/2019
PRODUÇÃO DE GALINHAS E FRANGOS CAIPIRAS E O DESENVOLVIMENTO CULTURAL E SOCIOECONÔMICA DA REGIÃO DE ARINOS MG,Diogo de Moraes Cardoso,ARINOS,De 02/05/2019 a 31/10/2019
DÓ-Ré-MIF: A Importância da Música no Ambiente Escolar,Diorny da Silva Reis,ARINOS,De 01/05/2019 a 31/10/2019
Capacitação em Tecnologia de Aplicação de Agrotóxicos para os agricultores dos assentamentos rurais de Arinos - MG.,Ronaldo Porto Madureira,ARINOS,De 02/05/2019 a 30/10/2019
A hidroponia integrando o IFNMG e comunidade escolar de Arinos - MG,Diorny da Silva Reis,ARINOS,De 01/05/2019 a 31/10/2019
"Assistência técnica em suinocultura na comunidade de morrinhos, Arinos-MG",Elis Marina Fonseca Almeida,ARINOS,De 02/05/2019 a 31/10/2019
"PRODUÇÃO DE ADUBO ORGÂNICO ATRAVÉS DO PROCESSO DE COMPOSTAGEM, PARA HORTA ESCOLAR DA ESCOLA PRINCESA ISABEL, MUNICÍPIO DE ARINOS/MG,",Rildo Araujo Leite,ARINOS,De 02/05/2019 a 31/10/2019
DESENVOLVIMENTO SOCIOECONÔMICO E TÉCNICO CIENTIFICO SOBRE A CULTURA DA MANDIOCA,Maria Helena Alves Pereira,ARINOS,De 02/05/2019 a 31/10/2019
"Projeto Leão: ações de conscientização, adoção e castração para guarda consciente e redução do abandono de animais em Arinos.",Elza Cristiny Carneiro Batista,ARINOS,De 02/05/2019 a 20/12/2019
Difusão de Tecnologias no cultivo do Meloeiro em Arinos - MG,Juliana Maria Nogueira Pereira,ARINOS,De 08/04/2019 a 31/10/2019
Manejo racional do solo e água: uma abordagem a produtores rurais de Urucuia-MG,Diogo de Moraes Cardoso,ARINOS,De 01/05/2019 a 31/10/2019
DIFUSÃO DE NOVAS TECNOLOGIAS NA CULTURA DA ABÓBORA PARA OS AGRICULTORES FAMILIARES DE ARINOS-MG,Josedir Lopes de Araujo,ARINOS,De 25/05/2019 a 25/11/2019
IFSuporte,Diego Viana Porto,ARINOS,De 02/05/2019 a 31/10/2019
Campanhas educativas sobre a violência doméstica no município de Arinos - MG.,Adailton Cardoso da Silva,ARINOS,De 22/03/2019 a 25/06/2019
Matemática em Cena,Helen Maria Pedrosa de Oliveira,ARINOS,De 01/03/2019 a 30/06/2019
Portfólio de Oportunidades - Situações-problema,Cleiton Lisboa Mota,DIAMANTINA,De 03/06/2019 a 02/12/2019
Florestas para o futuro,Emerson Delano Lopes,DIAMANTINA,De 01/05/2019 a 31/10/2019
Desenvolvimento Territorial Sustentável da Comunidade Quilombola de São João da Chapada em Diamantina,Andre Aristoteles da Rocha Muniz,DIAMANTINA,De 05/09/2019 a 04/12/2019
Yoga na Comunidade,Andre Aristoteles da Rocha Muniz,DIAMANTINA,De 05/08/2019 a 05/12/2019
TPE - Teatro Preparação e Extensão,Daniel Alberti Perez,DIAMANTINA,De 19/08/2019 a 13/12/2019
Expedição Gaia Ecologia de Saberes,Andre Aristoteles da Rocha Muniz,DIAMANTINA,De 05/08/2019 a 05/12/2019
Tribo Corpo Raiz - Grupo de Dança,Mariana Emiliano Simoes,DIAMANTINA,De 13/05/2019 a 13/12/2019
"""REMIÇÃO PELA LEITURA"" : ampliando horizontes e aplainando caminhos através da leitura e da escrita",Pedro Borges Pimenta Junior,JANUÁRIA,De 02/05/2019 a 30/11/2019
A Importância da Cura do Concreto,Aureo da Silva Santos,JANUÁRIA,De 02/05/2019 a 30/11/2019
"III Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões",Elisa Martins Belem Vieira,JANUÁRIA,De 01/06/2019 a 30/11/2019
Acompanhamento de egressos,Everton Lopes Guimaraes,JANUÁRIA,De 03/06/2019 a 23/12/2019
ENCONTRANDO MÃO DE OBRA QUALIFICADA NA CONSTRUÇÃO CIVIL EM JANUÁRIA,Pablo Henrique Ataide Oliveira,JANUÁRIA,De 02/05/2019 a 30/11/2019
- Programa de Melhoria Interna na Cooperativa dos Agricultores Familiares e Agroextrativistas do Vale do Peruaçu ? Cooperuaçu.,Shirley Mirone Martins Guimaraes,JANUÁRIA,De 01/05/2019 a 31/10/2019
Projeto social um olhar para o futuro,Selma Alves Abrahao,JANUÁRIA,De 02/05/2019 a 31/10/2019
FORTALECIMENTO DA LUTA DOS JOVENS XAKRIABÁ NA BUSCA PELO ENSINO SUPERIOR: PREPARANDO PARA O ENEM,Elisa Martins Belem Vieira,JANUÁRIA,De 02/05/2019 a 30/11/2019
Clube do Empreendedor,Francisco Farlei de Carvalho Lisboa,JANUÁRIA,De 01/04/2019 a 10/10/2019
PROJETO INSTITUCIONAL DE SUSTENTABILIDADE AMBIENTAL ? EIXO RESÍDUOS SÓLIDOS,Antonio Fabio Silva Santos,JANUÁRIA,De 01/04/2019 a 30/11/2019
Avaliação e fomento do conhecimento popular de plantas medicinais entre comunidade e alunos do IFNMG-Campus Januária,Joel Santana do Nascimento,JANUÁRIA,De 01/05/2019 a 30/11/2019
"Aproveitamento e usos alternativos da Manipueira em casas de farinha da comunidade de Bonança, município de Ibiracatu/MG.",Joel Santana do Nascimento,JANUÁRIA,De 02/05/2019 a 30/11/2019
TURISMO EM JANUÁRIA,Pablo Henrique Ataide Oliveira,JANUÁRIA,De 02/05/2019 a 30/11/2019
Implantação de Sistema de Rastreabilidade de Frutas e Hortaliças para Produtores Rurais do Município de Januária-MG,Antonio Fabio Silva Santos,JANUÁRIA,De 02/05/2019 a 30/11/2019
"IMPLANTAÇÃO DE HORTAS AGROECOLÓGICAS NA ESCOLA ESTADUAL DE CÔNEGO MARINHO MG: Fomentando agroecologia em um contexto de saúde, educação e cidadania.",Nelson Licinio Campos de Oliveira,JANUÁRIA,De 02/05/2019 a 31/10/2019
"Criação de abelhas Apis mellífera integrada ao manejo prático e conservacionista na associação comunitária de Olhos D?Água, no município Cônego Marinho-MG",Eliane Souza Gomes Brito,JANUÁRIA,De 02/05/2019 a 30/11/2019
Flor do Sertão: paisagismo sustentável com espécies ornamentais nativas,Danilo Pereira Ribeiro,JANUÁRIA,De 02/05/2019 a 31/10/2019
Conscientização e Educação da Vila Sebastião Lima quanto ao uso de recursos hídricos disponível para abastecimento local,Ronaldo Mauricio Sampaio,JANUÁRIA,De 01/05/2019 a 30/11/2019
Metodologias ativas: Promover a capacitação dos professores das Escolas Estaduais de Minas Gerais no Município de Januária para o uso efetivo de tecnologias da informação e comunicação em sala de aula.,Gustavo Linhares Lelis Frota,JANUÁRIA,De 01/05/2019 a 01/10/2019
"Minicurso: Qgis e Vesper, Softwares Livres com Aplicações em Agricultura de Precisão",Antonio Fabio Silva Santos,JANUÁRIA,De 02/05/2019 a 30/11/2019
Ocupando o espaço: o corpo e a palavra em cena,Elisa Martins Belem Vieira,JANUÁRIA,De 02/05/2019 a 30/11/2019
PRÁTICAS DE MANEJO E CONSERVAÇÃO DO SOLO COMO VETOR DO FORTALECIMENTO DA AGRICULTURA FAMILIAR NA COMUNIDADE DE BONANÇA/MG,Tattiane Gomes Costa,JANUÁRIA,De 02/05/2019 a 30/11/2019
IF-EDU: ENSINO DE LÍNGUAS ESTRANGEIRAS NO YOUTUBE,Welington dos Santos Silva,JANUÁRIA,De 02/05/2019 a 31/10/2019
PROJETO PRÉ ENEM COMUNITÁRIO,Claudio Wilson dos Santos Pereira,JANUÁRIA,De 01/07/2019 a 08/11/2019
Técnicas de comunicação e metodologias de interação comportamental aplicadas ao processo de recrutamento e seleção,Edson Oliveira Neves,JANUÁRIA,De 15/05/2019 a 21/08/2019
Tecnologia no terceiro setor: estudo de caso de marketing digital na Associação Comunitária O Pequeno Davi,Cleiane Goncalves Oliveira,JANUÁRIA,De 22/04/2019 a 16/09/2019
Educação em saúde sobre a importância do exame Papanicolau,Daniela Souza Santos de Sa,JANUÁRIA,De 12/08/2019 a 12/12/2019
AÇÕES DE EXTENSÃO EM ENFERMAGEM,Daniela Souza Santos de Sa,JANUÁRIA,De 08/03/2019 a 01/12/2019
Videoaulas de Matemática,Gustavo Pereira Gomes,JANUÁRIA,De 06/08/2019 a 19/12/2019
Acompanhamento de Egressos,Anamaria Azevedo Lafeta Rabelo,JANAÚBA,De 01/04/2019 a 29/11/2019
Clube do Empreendedor,Cleber Roberto Souza,JANAÚBA,De 03/06/2019 a 29/11/2019
Grupo de Soluções Tecnológicas GST,Renata Cristina Nogueira Santos,JANAÚBA,De 01/04/2019 a 30/09/2019
PROJETO INSTITUCIONAL DE SUSTENTABILIDADE AMBIENTAL ? REVITALIZAÇÃO DA PRAÇA DA RODOVIÁRIA DO MUNICÍPIO DE JANAÚBA/MG,Fabricio Silva Ribeiro,JANAÚBA,De 01/06/2019 a 30/11/2019
IFNMG JANAÚBA ONLINE,Romulo Silveira Ramos,JANAÚBA,De 02/05/2019 a 31/10/2019
Plano de Comunicação do Espaço Cultural de Janaúba,Renata Cristina Nogueira Santos,JANAÚBA,De 01/08/2019 a 20/12/2019
SUSTENTABILIDADE AMBIENTAL: CONSTRUINDO PRÁTICAS A PARTIR DO COMPROMISSO SOCIAL E AMBIENTAL NO IFNMG - CAMPUS MONTES CLAROS.,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 01/05/2019 a 31/10/2019
ACOMPANHAMENTO DE EGRESSOS E PRÉ-EGRESSOS: CONSTRUINDO PERFIS E DEMANDAS,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 01/05/2019 a 31/10/2019
Grupo de Soluções Tecnológicas GST,Wagner Leite Araujo,M. CLAROS,De 01/06/2019 a 29/11/2019
Educação Ambiental de crianças e adolescentes da rede pública de ensino de Montes Claros - MG,Thalles de Assis Cardoso Goncalves,M. CLAROS,De 01/10/2019 a 20/12/2019
"III FESTIVAL INTERCAMPI DE CULTURAS: ENCANTOS DOS VALES, MONTES E SERTÕES DO IFNMG.",Barbara Caroline de Oliveira,M. CLAROS,De 01/04/2019 a 15/12/2019
Programação e robótica para crianças e adolescentes,Neila Marcelle Gualberto Leite,M. CLAROS,De 01/05/2019 a 31/10/2019
"Produtos de Limpeza Artesanais: ""Empreendendo no Lar""",Thalles de Assis Cardoso Goncalves,M. CLAROS,De 01/10/2019 a 20/12/2019
Agricultura familiar no espaço urbano envolvendo a agroecologia através de materiais reutilizáveis,Luiz Gomes Junior,M. CLAROS,De 01/10/2019 a 31/12/2019
Agentes Ambientais ? um reolhar aos Catadores de Materiais Recicláveis,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 01/05/2019 a 31/10/2019
Introdução à Astronomia e ao Universo,Julio Cesar Guedes Antunes,M. CLAROS,De 03/05/2019 a 30/10/2019
PRODUÇÃO DE CERVEJA ARTESANAL COM UTENSÍLIOS DOMÉSTICOS,Tatiane Reis do Amaral,M. CLAROS,De 02/05/2019 a 31/10/2019
Tecnologia da Engenharia para Qualificação da Sociedade,Cabriella Novello de Andrade,M. CLAROS,De 02/05/2019 a 31/10/2019
Aulas de Karatê-Do Shotokan,Pedro Henrique de Oliveira Gomes,M. CLAROS,De 05/03/2019 a 19/12/2019
IFCONTAÇÕES: DO IMAGINÁRIO PARA A VIDA,Valesca Rodrigues de Souza,M. CLAROS,De 01/09/2019 a 31/12/2019
Pré Técnico 2019,Rafael Porto Viana,M. CLAROS,De 01/08/2019 a 28/02/2020
Clube da Robótica,Rafael Porto Viana,M. CLAROS,De 01/09/2019 a 18/12/2020
Inclusão Digital de Mulheres no IFNMG ? Campus Montes Claros,Luciana Balieiro Cosme,M. CLAROS,De 02/09/2019 a 31/12/2019
Articulando teoria e prática no ensino de ciências,Gleysson de Paula Terra,PIRAPORA,De 02/05/2019 a 13/12/2019
PROJETO INSTITUCIONAL DE SUSTENTABILIDADE AMBIENTAL ? EIXO RESÍDUOS SÓLIDOS,Ana Paula Silva Nascentes Nunes,PIRAPORA,De 06/05/2019 a 31/10/2019
Redação nota Mil: Preparação para o Enem-2019,Talita Aparecida da Guarda Alves,PIRAPORA,De 01/05/2019 a 01/11/2019
Sustentabilidade Ambiental no âmbito do Centro de Referência de Corinto - Eixo Resíduos Sólidos.,Willy de Oliveira,PIRAPORA,De 03/06/2019 a 29/11/2019
"Capacitação de trabalhadores da construção civil, oleiros e comunidade interessada para a fabricação de tijolos ecológicos",Anderson Ricardo dos Anjos,PIRAPORA,De 02/05/2019 a 20/12/2019
Reforço de Língua Portuguesa para alunos do Ensino Fundamental participantes do Programa Forças no Esporte (PROFESP- Marinha do Brasil),Talita Aparecida da Guarda Alves,PIRAPORA,De 01/05/2019 a 15/12/2019
CURSO DE GESTÃO DE EMPRESAS COM USO AVANÇADO DE PLANILHAS,Silvio Rodrigo Silva Cesar,PIRAPORA,De 01/05/2019 a 31/10/2019
