INSTITUIÇÃO,GRUPO,LÍDER,ÁREA PREDOMINANTE,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Pesquisa em Ensino de Ciências e Matemática,Vailton Afonso da Silva,Física,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais, Informática Aplicada ,Joselice Ferreira Lima,Ciência da Computação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Ensino de linguagens e sua associação com pesquisas em Linguística e Literatura,Ana Clara Gonçalves Alves de Meira,Letras,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Estado, organizações e desenvolvimento",André Luis Rabelo Cardoso,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Estudos Aplicados em Inovação e Empreendedorismo no Agronegócio - NUPA,Paulo Eduardo Ferreira dos Santos,Zootecnia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisas em Ciência da Religião (GEPECRE),Maria Araci Magalhães,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Cartografias do sertão norte-mineiro: Língua, Literatura, Educação, História e Periodismo do/no Médio São ",Pedro Borges Pimenta Júnior,Letras,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de Estudos Integrados em Fitopatologia e Agricultura Biológica - NEIFIT AgriBio,Tatiana Tozzi Martins Souza Rodrigues,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Sociologia do Conhecimento,Carla Pereira Silva,Sociologia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Estudos Organizacionais e Sociedade,André Aristóteles da Rocha Muniz,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos em Propriedades Físicas dos Produtos Agrícolas (Proagri),Wagner da Cunha Siqueira,Engenharia Agrícola,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,DESENVOLVIMENTO SUSTENTÁVEL,Alessandro de Paula Silva,Recursos Florestais e Engenharia Florestal,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Valorizar, Reutilizar e Empreender",Alcides Ricardo Gomes de Oliveira,Ciência e Tecnologia de Alimentos,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Pesquisa em Ensino de Artes no IFNMG,Mariana Emiliano Simões,Artes,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,GPEEME - Grupo de Pesquisa e Extensão no Ensino da Matemática e Estatística,Marco Aurélio Meira Fonseca,Matemática,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de Pesquisa e Extensão em Administração Pública e Gestão Social,André Aristóteles da Rocha Muniz,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Produção e Tecnologia Sustentável na região Semiárida de Minas Gerais,Marília Dutra Massad,Recursos Florestais e Engenharia Florestal,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,GEPEDD - Grupo de Estudo e Pesquisa Educação Docência e Diversidade,Suzana Alves Escobar,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,{cidic} - Grupo de Pesquisa em Ciência de Dados e Inteligência Computacional,Petrônio Cândido de Lima e Silva,Ciência da Computação,,
